source,buyer,buyer_unit,vendor,listed_company,description,amount,date,award_id,url
usaspending,Department of Defense,Department of the Army,BOSCH REXROTH CORPORATION,,THE BASE BID IS AWARDED AT THIS TIME.,2511016.78,2020-01-27,W912EK20P0032,https://www.usaspending.gov/award/CONT_AWD_W912EK20P0032_9700_-NONE-_-NONE-
usaspending,Department of Defense,Department of the Air Force,GRISWOLD INDUSTRIES,,AIR MOBILITY COMMAND (AMC) A4X REQUIRES A CONTRACT FOR 35 VIPER KITS AND FUELING HOSES THAT ARE INTEGRAL COMPONENTS OF THE PROPRIETARY VIPER KIT CONFIGURATION,2066518.64,2025-09-30,FA445225P0041,https://www.usaspending.gov/award/CONT_AWD_FA445225P0041_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"ELKHART BRASS MANUFACTURING COMPANY, LLC",,"8511901108!NOZZLE,FIRE EQUIPME",886000.0,2026-02-04,SPE8E926F0051,https://www.usaspending.gov/award/CONT_AWD_SPE8E926F0051_9700_SPE8E926D0005_9700
usaspending,Department of Defense,Defense Logistics Agency,"ELKHART BRASS MANUFACTURING COMPANY, LLC",,"8511884115!NOZZLE,FIRE EQUIPME",886000.0,2026-01-27,SPE8E926F0048,https://www.usaspending.gov/award/CONT_AWD_SPE8E926F0048_9700_SPE8E926D0005_9700
usaspending,Department of Defense,Defense Logistics Agency,"HOOSIER INDUSTRIAL SUPPLY, INC",,"8511468052!VALVE,REGULATING,FL",746141.5,2025-07-10,SPE7MC25P2213,https://www.usaspending.gov/award/CONT_AWD_SPE7MC25P2213_9700_-NONE-_-NONE-
usaspending,Department of Defense,Department of the Navy,W S DARLEY & CO,,"PUMP UNIT,CENTRIFUG",663850.0,2024-08-07,N0010424PLD68,https://www.usaspending.gov/award/CONT_AWD_N0010424PLD68_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"AAR SUPPLY CHAIN, INC",,"8511415717!SWITCH,PRESSURE",628920.51,2025-06-04,SPE7M825C0004,https://www.usaspending.gov/award/CONT_AWD_SPE7M825C0004_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Contract Management Agency,"REXNORD INDUSTRIES, LLC",,"BEARING ASSY, SPCL SEPA",624934.25,2024-05-16,N0010424PZA83,https://www.usaspending.gov/award/CONT_AWD_N0010424PZA83_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"AAR SUPPLY CHAIN, INC",,"8510536356!COUPLING ASSEMBLY,QUICK DISCO",583508.42,2024-04-03,SPE7M424P2376,https://www.usaspending.gov/award/CONT_AWD_SPE7M424P2376_9700_-NONE-_-NONE-
usaspending,Department of Defense,Department of the Navy,EVAC NORTH AMERICA INC,,"SEPA VALVE,FLOW CONTROL",544000.0,2025-08-20,N0010425PJD12,https://www.usaspending.gov/award/CONT_AWD_N0010425PJD12_9700_-NONE-_-NONE-
usaspending,Department of Defense,Department of the Navy,"BALLCO MANUFACTURING COMPANY, INC.",,"EAF  PARTS KIT,VALVE",498400.0,2026-05-21,N0010426PZA97,https://www.usaspending.gov/award/CONT_AWD_N0010426PZA97_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"ELKHART BRASS MANUFACTURING COMPANY, LLC",,"8511958152!NOZZLE,FIRE EQUIPME",478440.0,2026-03-04,SPE8E926F0058,https://www.usaspending.gov/award/CONT_AWD_SPE8E926F0058_9700_SPE8E926D0005_9700
usaspending,Department of Defense,Defense Logistics Agency,"ELKHART BRASS MANUFACTURING COMPANY, LLC",,"8511887488!NOZZLE,FIRE EQUIPME",443000.0,2026-01-28,SPE8E926F0049,https://www.usaspending.gov/award/CONT_AWD_SPE8E926F0049_9700_SPE8E926D0005_9700
